iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI000309,Simmondsia chinensis,C0996899,,,,Seed(s),,Simmondsia chinensis,jojoba,,
DSI000310,eggshell membrane,C4081101,,,,Gallus gallus - Egg shell | Partially hydrolysed chicken eggshell membrane | Hydrolysed chicken eggshell membrane,,Partially hydrolysed chicken eggshell membrane | Partially hydrolysed Chicken eggshell membrane | Hydrolysed chicken eggshell membrane,,,
DSI000311,milligrams,,,,,,,milligrams,,,
DSI000312,Anemone pulsatilla,C0330255,,,,Herb | Whole fresh flowering plants,,Anemone pulsatilla | Pulsatilla vulgaris,,,
DSI000313,Cadmium sulphuratum,,,,,Cadmium sulfide,,Cadmium sulphuratum,,,
DSI000314,Plantago arenaria,C1218742,,,,Seed(s) | Plantago ovata husk,,"Plantago arenaria | Plantago arenaria, Plantago ovata",,,
DSI000315,Acidum sulphuricum,,,,,Sulfuric acid,,Acidum sulphuricum,,,
DSI000316,Asafoetida,C1095802,,,,Gum resin,,Asafoetida,Asafoetida,,
DSI000317,Carbo vegetabilis,C0937607,,,,Activated charcoal,,Carbo vegetabilis,,,
DSI000318,Natrum phosphoricum,,,,,Sodium phosphate dibasic,,Natrum phosphoricum,,,
DSI000319,Robina pseudacacia,,,,,Bark of root and stem,,Robina pseudacacia,,,
DSI000320,(3-beta)-Stigmast-5-en-3-ol,C0106127,,,,Beta-sitosterol | Bark | Sitogluside | Glycine max - Seed | Zea mays - stigma and style | Sitogluside,,"(3beta)-Stigmast-5-en-3-ol | Quebracho | Beta-Sitosterolin-Beta-D-Glucoside | Beta-sitosterol | Beta-Sitosterol | 22,23-Dihydrostigmasterol | (3-beta)-Stigmast-5-en-3-yl-beta-D-glucopyranoside",Beta Sitosterol | Beta-Sitosterol | Quebracho,,
DSI000321,Pollen,C0032385,"Pollen extract is an ingredient in a standardized Swedish natural product that contains both pollen and pistils derived from members of the Poaceae family of grasses. It has been used as an herbal remedy to relieve premenstrual, perimenopausal, and menopausal symptoms such as fatigue, hot flashes, irritability, and sleeplessness. Although the exact mechanism of action remains unclear, preclinical studies did not find estrogenic activity , suggesting it does not work by modulating hormones. This is of particular interest among patients with hormone-sensitive cancers who have limited options and may have safety concerns with more conventional methods to address such symptoms. Initial open-label studies suggested that a standardized pollen extract was useful in alleviating premenstrual, perimenopausal, and menopausal symptoms , although one of these studies combined the extract with royal jelly . In a follow-up randomized controlled trial, pollen extract reduced hot flashes and improve quality of life in menopausal women . A double-blind RCT found a reduction in premenstrual sleep disturbances, which was more pronounced in women who identified irritability as their main symptom . No studies have been conducted in cancer populations. Therefore, additional clinical trials are needed to confirm safety and efficacy of pollen extract, including for use among cancer patients. Pollen extract should not be confused with propolis, which is pollen harvested by bees from many different plant families, and may also include other substances such as beeswax.",,"There are two active ingredients in the formulation studied: a combined pollen and pistil extract (PI 82, 75%), which contains high levels of superoxide dismutase, and a pure pollen extract (GC FEM, 25%) (4). PI 82 pollen extracts are derived from Secale cereale (rye grass), Dactylis glomerata (orchard grass), and Pinus silvestris (Scots pine) while the pollen-pistil extract is derived from Zea mays. GC FEM pollen extract is derived from S. cereale, Z. mays, and P. silvestris  (1). The preparation is standardized to contain 14 mg of amino acids per tablet (4).
Laboratory studies determined that the pollen extract preparation used in studies contained low concentrations of the phytoestrogens daidzin, daidzein, and genistin, that were considered to be subeffective. These studies also did not detect genistein, formononetin, or biochanin A (1). In vitro, purified Swedish pollen extract did not show inhibition of CYP2D6 enzymes (6). Animal studies suggest that high doses of pollen extract do not cause uterine growth in immature female rats, suggesting no estrogenic effects (1).
The exact mechanism for reduction of menopausal symptoms remains unclear but one study suggests that the antioxidant properties of the ingredients may play a role (4).",Phleum pratense- Anther | Pollen (members of the grass (Poaceae) family including rye (Secale cereale)) | Bee pollen,Swedish pollen extract | Swedish flower pollen | Flower pollen extract | Purified pollen extract,Pollen Extract | Pollen-pistil extract | Pollen,Pollen | Pine Pollen | Pollen (unspecified),Pollen Extract,
DSI000322,Prunus africana,C1123033,,,,Aged bark,,Prunus africana,,,
DSI000323,Coffea canephora,C1014603,,,,Seed(s) | Seed(s),,Coffea canephora | Coffea canephora - Graine  | Coffea canephora - Seed | Coffea canephora robusta,,,
DSI000324,Astragalus membranaceus,C0949831,,,,Root,,Astragalus membranaceus,,,
DSI000325,Ligustrum lucidum,C1258043,"Ligustrum lucidum is a medicinal plant that is often used in combination with other herbs in traditional Chinese medicine. There are several species of Ligustrum that are thought to have different medicinal properties . Traditionally, the plant is used to treat diminished eyesight, dizziness, fever, and insomnia. Some herbalists also use it to treat side effects caused by chemotherapy and to increase immune function in cancer patients. In vitro studies suggest that the fruits of Ligustrum lucidum have antitumor , immunomodulatory , antidiabetic , antiosteoporotic , antiviral , antimutagenic , hepatoprotective , and cytotoxic effects . In animal models, Ligustrum compounds showed antiosteoporotic and vision-sparing effects. Ligustrum combined with Siberian ginseng may have protective effects against chemotherapy-induced myelosuppression . Data in humans are quite limited. In a small study of non-small cell lung cancer patients undergoing chemotherapy, a formula containing reishi mushroom and Ligustrum was found to help maintain quality of life .",,"In vitro studies suggest antitumor effects occur via immunomodulation and by reverting macrophage suppression brought about by tumors (4), or are due to increases in phagocytes and lymphokine-activated killer cells (5). Ligustrum may induce apoptosis in human hepatocellular carcinoma cells via p21 upregulation (17). Hepatoprotective effects are due to oleanolic acid and perhaps mediated by an increase in hepatic glutathione regeneration capacity (11).
Secoiridoid glucosides showed antioxidant effects against free radical-associated hemolysis of erythrocytes (1). The secoiridoid glucoside oleuropein has demonstrated antiviral activity against respiratory syncytial virus and parainfluenza type 3 virus (8) while other secoiridoid compounds showed activity against influenza A virus (16). The compound specnuezhenide may confer vision improvement effects via inhibition of HIF-1alpha/VEGF signaling pathway (20).
Salidroside and nuzhenide have been identified as potential antiosteoporotic compounds (15). In a murine model of diabetes-induced osteoporosis, ligustroflavone from Ligustrum fruit appeared to have protective effects via regulation of parathyroid hormone levels and improved calcium balance by acting on calcium-sensing receptors (19).",Ligustrum lucidum - Fruit,Privet | Nu zhen zi | Glossy privet | Dong qing zin,Ligustrum lucidum,,Ligustrum lucidum,
DSI000326,Echinacea purpurea,C0874052,,,,Root | Root,,Echinacea purpurea | Brauneria purpurea,Echinacea purpurea,,
DSI000327,Salix alba,C4760773,,,,,,Salix alba,,,
DSI000328,trans-Resveratrol,C1101322,,,,Polygonum cuspidatum | Reynoutria Japonica - root | Resveratrol | Polygonum cuspidatum - rhizome,,"Trans-Resveratrol | trans-Resveratrol | Trans-resveratrol | Trans-Resveratrol (trans-3,5,4' trihydroxystilbene)",,,
DSI000329,Angelica dahurica,C1083049,,,,Root,,Angelica dahurica,,,
DSI000330,Magnolia biondii,C1187672,,,,Flower,,Magnolia biondii,Magnolia biondii,,
DSI000331,Xanthium sibiricum,C4521090,,,,Fruit (stir-baked with spines removed),,Xanthium sibiricum,,,
DSI000332,Codonopsis pilosula,C1038274,,,,Root,,Codonopsis pilosula,,,
DSI000333,Schisandra sphenanthera,C1000833,,,,Fruit,,Schisandra sphenanthera,,,
DSI000334,(Carboxymethyl)trimethylammonium hydroxide inner salt,,,,,Beta vulgaris - Root,,(Carboxymethyl)trimethylammonium hydroxide inner salt,,,
DSI000335,Beta-D-galactoside galactohydrolase,,,,,Aspergillus flavus var. oryzae - Whole,,Beta-D-galactoside galactohydrolase,,,
DSI000336,Papain,C0030346,,,,Carica papaya - fruit,,Papain,Papain,,
DSI000337,Blatta orientalis,,,,,Live insect,,Blatta orientalis,,,
DSI000338,Salvia miltiorrhiza,C0696940,,,,Root and rhizome,,Salvia miltiorrhiza,Danshen,,
DSI000339,Honey,C0019906,,,,Apis mellifera - Honey,,Honey,Honey Bee | Honey,,
DSI000340,Sambucus nigra,C0331059,,,,Fruit | Dried flower(s) | Berries,,Sambucus nigra subsp. nigra | Sambucus nigra | Sambucus nigra fruit extract,European Elder | Sambucus nigra,,
DSI000341,Ganoderma lucidum,,,,,"Ganoderma lucidum, sporophore",,Ganoderma lucidum,,,
DSI000342,Syzygium aromaticum,C1658087,,,,Buds | Dried flower buds | Eugenia caryophyllata Thunberg (Eugenia aromatica L Baill) | Herb top,,Syzygium aromaticum | Eugenia aromatica | Caryophyllus aromaticus | Clove Root,Clove,,
DSI000343,Boletus luridus,,,,,Fresh mushroom,,Boletus luridus,,,
DSI000344,Borago officinalis,C0522465,,,,Borago officinalis - seed,,Borago officinalis,,,
DSI000345,Angelica archangelica,C0877891,,,,Root,,Angelica archangelica,,,
DSI000346,Arthrospira platensis,,,,,Whole,,Arthrospira platensis,,,
DSI000347,Gentiana lutea,C1719970,,,,,,Gentiana lutea,,,
DSI000348,Malpighia glabra,C1028788,,,,Fruit,,Malpighia glabra,,,
DSI000349,Matricaria chamomilla,C1168601,,,,Flower,,Matricaria chamomilla,Chamomile (Matricaria chamomilla),,
DSI000350,Smilax aristolochiifolia,C2699314,,,,Root,,Smilax aristolochiifolia,Mexican Sarsaparilla,,
DSI000351,Vitis vinifera,C0682492,,,,Seed(s) | Leaf | Vitis vinifera - Seed | Flowering clusters,,Vitis vinifera | Vitis vinifera - Graine  | Vitis vinifera var. tinctoria | Vitis vinifera - Seed | Vitis vinifera (grape) seed extract | Vitis vinifera-flos,,,
DSI000352,Bifidobacterium animalis subsp. Lactis,,,,,Whole cell,,Bifidobacterium animalis subsp. Lactis,,,
DSI000353,Chlorella vulgaris,C0996438,,,,Chlorella vulgaris - Broken Cell | Broken cell,,Chlorella vulgaris | Chlorella vulgaris Beyerinck,,,
DSI000354,Lactobacillus acidophilus,,,,,Lactobacillus acidophilus - Whole cell,,Lactobacillus acidophilus,Lactobacillus acidophilus,,
DSI000355,Linum usitatissimum,C1095866,,,,Seed(s) | Seed oil,,Linum usitatissimum | Flax,Flax | False Flax,,
DSI000356,Rice,C1509547,,,,Rice protein concentrate | Oryza sativa - Seed,,Rice protein concentrate | Rice Protein,Black Rice | Koji rice | Rice | Rice Wax,,
DSI000357,Salvia hispanica,C1014490,,,,Seed(s),,Salvia hispanica,,,
DSI000358,Solanum tuberosum,C1145678,,,,Tuber | Potato,,Solanum tuberosum | Potato protein,African Wild Potato | Potato | Potato Yam,,
DSI000359,Vitamin K1,C0031862,,,,Vitamin K1 | Phytomenadione,,Vitamin K1 | Phytomenadione,Vitamin K (Phylloquinone),,
DSI000360,"2-Hydroxy-1,2,3-propanetricarboxylic Acid",C0055819,,,,"Magnesium
 citrate | Zinc citrate dihydrate | Anhydrous citric acid | Sodium citrate | Potassium citrate | Citric acid | Calcium citrate",,"2-Hydroxy-1,2,3-propanetricarboxylic acid magnesium salt | 2-hydroxy-1,2,3-propanetricarboxylic acid zinc salt | Acidum citricum | 2-Hydroxy-1,2,3-propanetricarboxylic acid | 2-Hydroxy-1,2,3-propanetricarboxylic acid sodium salt (1:3) | 2-Hydroxy-1,2,3-propanetricarboxylic acid tripotassium salt | Citric acid | 2-hydroxy-1,2,3-propanetricarboxylic acid | 2-Hydroxy-1,2,3-propanetricarboxylic acid zinc salt | 2-hydroxy-1,2,3-propanetricarboxylic acid calcium salt (2:3)",Citric acid transglutaminase | Citric Acid | Taurine citric acid,,
